가게이름,카테고리,주소,전화번호,영업시간,메뉴,최소가격,최대가격,차액,평점,사진,주소,나이대,분위기,목적
소유라운지카페,카페,광주시 남구 서동 238-5,,매일 오전 11시 - 오후 11시,"['아메리카노', '레몬에이드', '자몽에이드', '청포도에이드', '플레인요거트스무디', '에스프레소', '더치커피', '레모니카노', '더치라떼', '카페라떼', '아메리카노 ICE', '더치커피 ICE', '더치라떼 ICE', '카페라떼 ICE', '카페모카 HOT', '카페모카 ICE', '카라멜마끼아또 HOT', '카라멜마끼아또 ICE', '벨벳라떼 HOT', '벨벳라떼 ICE', '초코라떼 HOT', '초코라떼 ICE', '고구마라떼 HOT', '고구마라떼 ICE', '딸기요거트스무디 ICE', '블루베리 요거트스무디 ICE', '핸드메이드 티 HOT', '핸드메이드 티 ICE', '허브티 HOT', '허브티 ICE']","['3,800원', '5,500원', '5,500원', '5,500원', '5,500원', '4,000원', '4,500원', '5,500원', '5,000원', '4,000원', '4,300원', '5,000원', '5,500원', '4,500원', '4,500원', '5,000원', '4,500원', '5,000원', '4,500원', '5,000원', '4,500원', '5,000원', '5,000원', '5,000원', '5,500원', '5,500원', '5,000원', '5,500원', '5,000원', '5,500원']",3800,5500,1700,3.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220829011734_photo1_7ec459740b53.jpg,https://www.diningcode.com/profile.php?rid=8HHuJ0oWBYyd,"['20대', '40대']",['데이트'],"['분위기좋은', '조용한', '깔끔한', '예쁜']"
카페사잇길,카페,광주시 남구 구동 29-13,062-675-4275,"월-금,토 오전 10시 - 오후 9시","['아메리카노', '카페라떼', '고구마라떼', '아몬드쇼콜라라떼', '복숭아아이스티', '히비스커스', '캐모마일', '페퍼민트', '레몬차', '자몽차', '유자차', '매실차', '카푸치노', '백향과차', '수제 대추차', '레몬에이드', '자몽에이드', '유자에이드', '매실에이드', '백향과에이드', '딸기요거트스무디', '블루베리요거트스무디', '망고프라페', '카라멜마끼아또', '자바칩프라페', '피스타몬드프라페', '휘낭시에 플레인', '휘낭시에 초코', '휘낭시에 녹차', '휘낭시에 블루베리', '버터크로와상', '마타다미아초코쿠키', '스콘 플레인', '스콘 더블초코', '버터스카치라떼', '스콘 녹차', '스콘 흑임자', '소금빵', '마늘빵', '버터크림커피-아메', '버터크림커피-라떼', '땅밀라떼', '녹차라떼', '딸기라떼']","['3,000원', '3,500원', '4,500원', '4,500원', '3,500원', '4,000원', '4,000원', '4,000원', '4,000원', '4,000원', '4,000원', '4,000원', '3,500원', '4,500원', '8,000원', '4,500원', '4,500원', '4,500원', '4,500원', '5,000원', '5,000원', '5,000원', '5,000원', '4,000원', '5,000원', '5,000원', '1,500원', '1,500원', '1,500원', '1,500원', '4,000원', '5,500원', '3,500원', '3,500원', '4,000원', '3,500원', '3,500원', '3,000원', '3,000원', '5,500원', '5,500원', '4,500원', '4,500원', '4,500원']",1500,8000,6500,3.6점,https://d12zq4w4guyljn.cloudfront.net/750_750_20230121075225565_photo_c8ac15f43b18.jpg,https://www.diningcode.com/profile.php?rid=FWNGQSRGySum,"['50대', '60대%20이상']",['데이트'],"['분위기좋은', '조용한']"
온클라우드나인,카페,광주시 동구 광산동 80-1,062-229-1086,매일 자정 12시 - 자정 12시,"['아메리카노', '콜드브루 아메리카노', '스트로베리라떼', '혜자양동이빙수']","['4,000원', '4,500원', '5,800원', '13,900원']",4000,13900,9900,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20201120063416_profile_photo1_df3c991fb8a6.jpg,https://www.diningcode.com/profile.php?rid=yg55WAHBa6Ua,['20대'],"['데이트', '가족외식']",['가성비좋은']
봄날의매미,카페,광주시 동구 황금동 3,070-7559-0592,"화,수,목,금,토/일 정오 12시 - 오후 7시","['과일찹쌀떡(4입부터 박스포장)', '크림치즈모찌(모든과일)', '아메리카노', '100퍼센트 생과일주스 ', '페퍼민트', '캐모마일', '선물 2구(팥기준) 답례품/할인', '선물 창 4구 (팥기준)', '선물 창 6구 (팥기준)', '선물 창 12구 (팥기준)', '개별 돔케이스 ', '단면 12입(과일3가지선택-팥기준)', '단면24입(과일6종류 - 팥기준)', '고급단면 15입(과일4종류-팥기준)', '고급단면 20입(과일5종류-팥기준)', '패션후르츠에이드', '100%착츱 자몽에이드', '100%착즙 오렌지에이드', '멜론빙수(6월부터~)', '자몽빙수', '딸기빙수(5월말까지)', '치즈케이크빙수', '오레오빙수', '봄날매팥빙수', '생망고빙수', '모찌모찌빙수', '투명 단면 4입(답례) /스티커/할인']","['2,300원', '2,500원', '2,500원', '5,000원', '2,500원', '2,500원', '5500~5000', '11,000원', '17,000원', '33,000원', '200원', '16,000원', '31,000원', '25,000원', '31,000원', '4,000원', '4,500원', '4,500원', '11,000원', '10,000원', '9,000원', '9,500원', '9,000원', '8,000원', '13,000원', '9,500원', '60,005,000원']",200,60005000,60004800,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20190821180304_photo1_2681e44edd71.jpg,https://www.diningcode.com/profile.php?rid=M9FjNPCMj2OV,"['20대', '30대']",['간식'],['예쁜']
휘핑디에그,카페,광주시 동구 장동 55-2,,"월-금,토 오전 11시 30분 - 오후 6시 30분","['아메리카노', '아메리카노', '아인슈페너', '밀크티', '밀크티', '흑당밀크티', '흑당밀크티', '흑당밀크티샷라떼', '흑당밀크티샷라떼', '말차크림라떼', '말차크림라떼', '딸기', '카페라떼', '딸기', '딸기라떼', '딸기라떼', '자스민자몽', '자몽', '패션후르츠', '패션후르츠', '캐모마일', '페퍼민트', '페퍼민트', '카페라떼', '얼그레이', '얼그레이', '레드오렌지', '레드오렌지', '바닐라라떼', '바닐라라떼', '헤이즐넛라떼', '카페모카', '헤이즐넛라떼', '아인슈페너']","['4,000원', '3,800원', '5,000원', '4,800원', '4,500원', '5,500원', '5,000원', '6,000원', '5,500원', '5,500원', '5,000원', '6,500원', '4,500원', '6,500원', '6,500원', '6,500원', '5,500원', '5,500원', '5,500원', '5,500원', '4,000원', '4,000원', '4,000원', '4,300원', '4,000원', '4,000원', '4,000원', '4,000원', '5,000원', '4,800원', '5,000원', '4,800원', '4,800원', '5,500원']",3800,6500,2700,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20230520054901767_photo_b56536820c9a.jpg,https://www.diningcode.com/profile.php?rid=1xXIsAPukU5m,"['20대', '30대']",['데이트'],"['조용한', '깔끔한', '예쁜']"
충장22,카페,광주시 동구 충장로5가 95-14,,게시되지 않음 None,,,0,0,0,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20210306121738_photo1_87d6486b3107.jpg,https://www.diningcode.com/profile.php?rid=UDap98JD5uby,['20대'],[],[]
무질서,카페,광주시 동구 충장로5가 84 2층,,"화,수,목,금,토/일 오후 3시 - 자정 12시","['트러플오이비스켓', '바닐라빈우유푸딩', 'Tea cocktail', 'tea']","['6,000원', '11,000원', '', '']",6000,11000,5000,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220217061107616_photo_b56536820c9a.jpg,https://www.diningcode.com/profile.php?rid=EtZQtdj4Kw2W,['30대'],"['혼술', '데이트']","['분위기좋은', '깔끔한', '예쁜']"
카페 에르모소,카페,광주시 동구 금남로2가 28,062-230-0115,매일 정오 12시 - 오후 10시,"['메이플크림라떼', '헤이즐넛 초코', '토마토바질에이드', '아메리카노']","['6,000원', '6,000원', '7,000원', '5,000원']",5000,7000,2000,5.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220703102539_photo1_eb8a7a03d008.jpg,https://www.diningcode.com/profile.php?rid=aoObJodCs9ns,['50대'],[],['고급스러운']
다이스 보드게임 카페 충장점,카페,광주시 동구 황금동 91-1,062-236-1109,"화,수,목,금 정오 12시 45분 - 오후 11시","['청소년 1시간(평일)', '청소년 음료주문시 2시간 무료(평일)', '1인 1시간(추가10분300)', '음료 주문시 1시간 무료', '아이스티(게임요금1시간무료)', '체리콕(게임요금1시간무료)', '밀크쉐이크']","['1,800원', '3,000원', '2,000원', '', '3,500원', '3,500원', '4,500원']",1800,4500,2700,4.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20190904052356214_photo_04b42ceb691b.jpg,https://www.diningcode.com/profile.php?rid=C9sgayldSq1h,[],[],[]
공차 NC충장점,카페,광주시 동구 충장로4가 29-2,,매일 오전 8시 - 오후 11시,"['브라운슈가 쥬얼리 밀크티', '브라운슈가 커피 밀크티', '브라운슈가 치즈폼 쿠키 밀크티', '브라운슈가 치즈폼 스무디', '치즈폼 딥초코 밀크티']","['5,300원', '5,700원', '5,700원', '5,700원', '4,900원']",4900,5700,800,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=fHK6lk7U3LF8,[],[],[]
오렌지티,카페,광주시 동구 호남동 72-1,070-5020-9110,매일 오전 11시 - 오후 9시 30분,"['수제사과유자티', '수제키위레몬티', '수제레몬티']","['3,900원', '3,900원', '3,900원']",3900,3900,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=KxHJS1gXnHYu,[],"['데이트', '간식']",['예쁜']
플랜티 황금점,카페,광주시 동구 황금동 5-9,,"오리지널밀크티 1,900원","['오리지널밀크티', '오리지널블랙티', '허니레몬티', '에스프레소', '레몬에이드', '꾸덕크림모카', '아인슈페너', '버터크림라떼', '옛날컵빙수', '요거트딸기컵빙수']","['1,900원', '1,900원', '2,500원', '1,900원', '3,500원', '4,200원', '3,800원', '4,000원', '4,900원', '5,200원']",1900,5200,3300,3.1점,https://d12zq4w4guyljn.cloudfront.net/750_750_20220124092400881_photo_26465c09e335.jpg,https://www.diningcode.com/profile.php?rid=8pF7TGagwC1z,[],[],[]
크로싱,카페,광주시 동구 호남동 3-7,070-4179-7895,"월-금,토 오전 10시 - 오후 10시","['비엔나커피(아이스)', '제주청귤에이드', '커피셰이크', '청포도에이드', '아메리카노', '카페라떼', '카페모카', '카라멜 마끼아또']","['6,000원', '6,000원', '4,500원', '6,000원', '4,000원', '4,500원', '5,000원', '5,000원']",4000,6000,2000,2.0점,https://d12zq4w4guyljn.cloudfront.net/750_750_20200124125114_photo1_40f78e50c2a3.jpg,https://www.diningcode.com/profile.php?rid=hPZ8jMfH5Tci,[],['데이트'],"['분위기좋은', '조용한', '깔끔한', '예쁜']"
파더스베이글,카페,광주시 동구 충장로1가 9-9,062-225-2289,매일 오전 11시 - 오후 9시,"['베이글', '크림치즈베이글']","['3,200원', '6,800원']",3200,6800,3600,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=y1JT624ACJXU,['30대'],"['혼밥', '데이트', '간식']",[]
커피스미스,카페,광주시 동구 광산동 86-2,062-222-2776,매일 자정 12시 - 자정 12시,"['아이스 아메리카노', '아이스 라떼', '아이스 요거트 프라페', '아이스 모카 프라페', '스미스 에이드', '스미스 허니 바게트', '와플', '빙수(팥빙수,커피,녹차,밀크티,요거트', '아포가토', '젤라또', '다즐링', '잉글리쉬 블랙퍼스트', '아이스 스미스 시리얼 라떼', '얼그레이', '그린티', '카모마일', '스미스 허브티', '민트', '루이보스', '유자차', '아이스 에스프레소', '아이스 카라멜 카푸치노', '아이스 카라멜 비엔나', '아이스 카라멜 마끼야또', '아이스 모카', '아이스 바닐라 라떼', '아이스 초코', '오늘의 커피', '카페 아메리카노', '카페 라떼', '카라멜마끼아또', '카푸치노', '카라멜 카푸치노', '카페 비엔나', '아이스 카푸치노', '카라멜 비엔나', '카페모카', '바닐라라떼', '핫초코', '에스프레소', '에스프레소 마끼아또', '에스프레소 콘판나', '에스프레소 콘 초콜릿', '아쌈 밀크티', '카라멜 밀크티', '아이스 비엔나', '녹차 라떼', '블랙빈 라떼', '아이스 커피 프라페', '아이스 카라멜 프라페', '아이스 그린티 프라페', '아이스 초콜릿 프라페']","['4,300원', '5,400원', '6,200원', '6,400원', '4,800원', '6,500원', '8,800원', '12,000원', '7,500원', '6,000원', '5,200원', '5,200원', '6,200원', '5,400원', '4,900원', '5,400원', '5,400원', '5,400원', '5,200원', '5,600원', '4,200원', '5,800원', '5,900원', '5,800원', '5,900원', '5,800원', '5,600원', '4,000원', '4,500원', '5,000원', '5,400원', '5,000원', '5,400원', '5,200원', '5,400원', '5,600원', '5,600원', '5,400원', '5,200원', '3,900원', '4,300원', '4,300원', '4,500원', '5,700원', '5,800원', '5,600원', '5,700원', '5,900원', '5,800원', '5,900원', '5,900원', '6,000원']",3900,12000,8100,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=bgETptP0RaxX,[],[],"['깔끔한', '예쁜']"
더시티,카페,광주시 동구 충장로1가 22,070-8670-0877,매일 자정 12시 - 자정 12시,['아메리카노'],"['4,000원']",4000,4000,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=9U12U7kCHQoV,[],[],"['조용한', '깔끔한', '예쁜']"
칼국수cafe엄마랑,카페,광주시 동구 금남로1가 23,062-234-4447,매일 오전 10시 - 오후 9시,"['연요리정식 4인 (1인)', '불낙(불고기낙지)비빔밥', '연잎버섯칼국수', '연잎얼큰버섯칼국수', '바지락칼국수', '팥칼국수', '콩물칼국수 ', '연잎밥 ', '정통수제왕돈가스', '버섯쇠고기덮밥', '얼큰버섯쇠고기덮밥', '애호박찌개']","['15,000원', '10,000원', '7,500원', '8,000원', '7,500원', '7,500원', '7,500원', '8,000원', '8,500원', '8,000원', '8,000원', '8,000원']",7500,15000,7500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=VVsYSZILjTnj,[],['점심식사'],"['깔끔한', '예쁜']"
달쓴커피,카페,광주시 동구 금남로5가 166,,월-금 오전 7시 - 오후 5시 30분,"['아메리카노', '카페라떼', '오곡라떼', '달쓴연유라떼', '레몬에이드/레몬차', '바닐라딜라이트', '달고나카페라떼', '에그샌드위치']","['2,000원', '3,500원', '3,800원', '4,000원', '4,000원', '4,500원', '4,500원', '3,000원']",2000,4500,2500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=gY3BqpH5ji7t,[],[],['예쁜']
할리스,카페,광주시 동구 금남로1가 15-11,062-223-0688,매일 오전 9시 - 오후 11시,"['딸기 치즈케익 할리치노', '민트 초코칩 할리치노', '바닐라 딜라이트', '카라멜 마키아또', '카페 라떼', '카페 아메리카노']","['6,300원', '6,300원', '6,100원', '6,100원', '5,200원', '4,500원']",4500,6300,1800,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=KkIQl3IpnovR,[],[],[]
오알지커피,카페,광주시 동구 금남로5가 61-3,062-222-3375,"아메리카노 2,000원","['아메리카노', '에스프레소', '헤이즐넛', '카페라떼', '카페모카']","['2,000원', '2,000원', '3,000원', '3,500원', '4,500원']",2000,4500,2500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=qys2jfr5fa6D,[],[],['예쁜']
크림슨,카페,광주시 동구 불로동 11-1,062-233-6767,"화,수,목,금,토/일 정오 12시 - 오후 11시","['아메리카노', '카페라떼', '애플쟈스민차', '헤이즐넛초코라떼', '오레몽샤베트', '딸기요거트 프라푸치노', '바닐라딜라이트']","['4,000원', '4,500원', '4,500원', '5,500원', '6,000원', '6,000원', '6,000원']",4000,6000,2000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=W1x86tFgZCyB,[],[],"['조용한', '예쁜']"
카페 정원,카페,광주시 동구 대의동 15-1,,월-금 오전 8시 - 오후 9시,"['아메리카노', '에그샌드위치', '아인슈페너', '카페라떼', '카라멜마끼아또', '커피콩빵']","['2,000원', '3,500원', '3,500원', '3,000원', '3,500원', '2,500원']",2000,3500,1500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=WtrBZXQwKTY0,[],[],[]
파스쿠찌,카페,광주시 동구 황금동 19-1,062-225-8497,월-목 오전 10시 - 오후 10시,"['오리지널 드립커피 R', '오리지널 드립커피 L', '아메리카노 R', '아메리카노 L', '카페라떼 R', '카페라떼 L', '카라멜 라떼 마끼아또 R', '카라멜 라떼 마끼아또 L', '바닐라 라떼 마끼아또 R', '바닐라 라떼 마끼아또 L']","['3,900원', '4,400원', '4,000원', '4,500원', '4,500원', '5,000원', '5,000원', '5,500원', '5,000원', '5,500원']",3900,5500,1600,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=Yt5R4oQSos1x,[],[],['예쁜']
더카페,카페,광주시 동구 충장로4가 29-2 NC웨이브충장점 2F,062-718-9434,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=kQbL4Xig05kp,[],[],[]
그리고 커피,카페,광주시 동구 충장로5가 22,,월-금 오전 8시 30분 - 오후 9시,['핸드드립'],"['5,000원']",5000,5000,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=cgu3wpeC8y6W,[],[],['조용한']
별이빛나는밤에,카페,광주시 동구 궁동 34-2,062-226-8878,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=33vVOCQ1N2Vc,['40대'],[],[]
구삼이,카페,광주시 남구 구동 37-27,,"화,수,목,금,토/일 오전 11시 30분 - 오후 9시","['캐모마일 메들리', '페퍼민트루이보스', '로사에이드', '아메리카노', '헤이즐넛', '카페라떼', '헤이즐넛라떼', '바닐라라떼', '카라멜라떼', '그린티라떼', '초코라떼', '뱅쇼(무알콜)', '시나몬플럼', '아이스뱅(무알콜)', '플레인 요거트', '허니애플티(사과)', '스페셜티 아메리카노', '스페셜티 헤이즐넛', '스페셜티 카페라떼', '스페셜티 헤이즐넛라떼', '스페셜티 바닐라라떼', '스페셜티 카라멜라떼', '오레그랏세', '탠저린진저', '크로플', '허니몽티(자몽)', '허니레티(레몬)', '봉봉티(한라봉)', '허니청귤티(청귤)', '썬라이즈', '리라에이드']","['5,500원', '5,500원', '6,000원', '3,400원', '3,900원', '4,400원', '4,900원', '4,900원', '4,900원', '5,500원', '5,500원', '5,000원', '5,500원', '5,500원', '5,000원', '4,000원', '4,000원', '4,500원', '5,000원', '5,500원', '5,500원', '5,500원', '6,000원', '5,500원', '4,000원', '4,000원', '4,000원', '4,000원', '4,000원', '6,000원', '6,000원']",3400,6000,2600,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=ujUagRubgCgD,['50대'],[],['조용한']
엔제리너스 하나은행전일빌딩점,카페,광주시 동구 금남로1가 1-1 전일빌딩 1층 하나은행 라운지,062-229-1567,월-금 오전 10시 - 오후 10시,"['아메리카노', '카페라떼', '카페모카', '아메리치노', '자바칩스노우', '반미 오리지널 불고기 샌드위치', '반미 에그마요 샌드위치']","['4,500원', '5,000원', '5,500원', '5,400원', '6,900원', '7,400원', '6,200원']",4500,7400,2900,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=qImjIH7aXqO8,[],[],[]
엘에스씨,카페,광주시 동구 불로동 38-3,,"블랙커피 5,000원","['블랙커피', '화이트커피', '바닐라커피', 'LSC커피', '초코라떼']","['5,000원', '6,000원', '6,000원', '4,000원', '6,000원']",4000,6000,2000,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=WphyzisLn5kM,[],[],[]
나우커피 광주수기점,카페,광주시 동구 수기동 92,,매일 자정 12시 - 자정 12시,['아메리카노'],"['1,400원']",1400,1400,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=lClKReUaPSq5,[],[],[]
카페모레,카페,광주시 동구 대의동 79-3,,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=w93T88RUUz60,[],[],[]
하울링,카페,광주시 동구 불로동 98-4,,"월,수,목,금,토/일 오전 11시 - 오후 10시","['하울링 생맥주', '그린 하이볼', '아메리카노(Hot)', '딸기라떼', '밀크티', '망고패션후르츠 에이드', '자몽에이드', '레몬에이드', '카페모카', 'H.크림라떼', '바닐라라떼', '카페라떼', '화이트 하이볼', '아메리카노', '버터갈릭 포테이토 프라이', '누룽지 매운 떡볶이', '아보카도 오픈 샌드위치', 'H.트러플 포테이토', '초코라떼(Hot)', '말차라떼(Hot)', '밀크티(Hot)', '카페모카(Hot)', '카푸치노(Only Hot)', '바닐라라떼(Hot)', '카페라떼(Hot)']","['4,500원', '7,000원', '4,500원', '6,500원', '6,000원', '6,500원', '6,500원', '6,500원', '6,000원', '6,500원', '6,000원', '5,500원', '7,000원', '4,500원', '13,000원', '15,000원', '15,000원', '16,000원', '6,500원', '6,500원', '6,000원', '6,000원', '5,500원', '6,000원', '5,500원']",4500,16000,11500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=XYZ0yfzRnSPN,[],[],[]
로머스카페,카페,광주시 동구 금남로4가 81-2,062-234-1909,매일 오전 7시 30분 - 오후 9시,"['아메리카노', '카페라떼']","['3,000원', '3,500원']",3000,3500,500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=YltwdtdSJNzx,[],[],[]
커피에반하다 광주충장로점,카페,광주시 동구 금남로4가 75-12,062-716-2619,토요일 오전 10시 - 오후 6시,"['마카롱', '크로플', '스트로베리라떼', '스트로베리크림스무디', '커피콩빵', '아메리카노', '콜드브루', '아이스티', '카페라떼', '에이드', '비타민주스', '민트초코라떼']","['1,500원', '2,800원', '3,800원', '4,000원', '2,800원', '2,000원', '3,000원', '2,500원', '2,800원', '3,500원', '4,000원', '3,500원']",1500,4000,2500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=YWYeyXJTnrkD,[],[],[]
사직안채,카페,광주시 남구 사동 134-10 사직안채(한옥),062-720-3680,플라워티 ,['플라워티'],[''],0,4000,2500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=mrXncy4qema6,[],[],[]
티파라치,카페,광주시 동구 대의동 79-2,,"베트콩 아메리카노 4,000원","['베트콩 아메리카노', '베트콩 연유커피', '사이콩코코넛스무디', '하노이코코넛라떼', '토마토주스']","['4,000원', '5,000원', '5,800원', '5,000원', '4,800원']",4000,5800,1800,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=ifQ9xPXXI6lz,[],[],[]
매머드익스프레스 (12월중오픈) 광주금남로점,카페,광주시 구로구 궁동 1,,월-금 오전 8시 - 오후 8시,['아메리카노'],"['1,600원']",1600,1600,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=7gYQfVJ0cEai,[],[],[]
춘북,카페,광주시 동구 불로동 105,062-223-2549,매일 정오 12시 - 자정 12시,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=tp2K8HGZ64gd,[],[],[]
elm COFFEE,카페,광주시 동구 호남동 23-2,062-717-1010,매일 오전 10시 - 오후 8시,"['Orange Einspanner', 'Half&amp;half', 'Hazelnut Latte', 'Cafe Mocha', 'Caramel Macchiato', 'Condensed Milk Latte', 'Einspanner', 'Cream Latte', 'Green tea Latte', 'Chocolate Latte', 'Sweet Potato Latte', 'Chamomile Tea', 'Oort clould', 'Peppermint Tea', 'Earl Grey Tea', 'Lemon Tea', 'Yuja Lemon Tea', 'Honey Earlgrey Lemon', '꽃뿔차', '힐링차', '정화차', '비수리차', '굿모닝차', 'Espresso', '표고버섯차', 'Orange Ade', 'Grapefruit Ade', 'Lemon Ade', 'Hibiscus Lemon Ade', 'Kiwi Juice', 'Tomato Juice', 'Cheese Cake', 'Oreo Cheese Cake', 'Tiramisu', 'Americano', 'Cookies&amp;Cream', 'Red Velvet', 'Camembert Cheese', 'Cafe Latte', 'Flat White', 'Cappuccino', 'Affogato', 'Vanilla Latte']","['7,200원', '7,200원', '6,200원', '6,300원', '6,200원', '6,300원', '6,500원', '6,800원', '5,800원', '5,800원', '6,000원', '5,800원', '6,800원', '5,800원', '5,800원', '6,200원', '6,200원', '6,300원', '6,500원', '5,800원', '6,800원', '5,800원', '6,500원', '4,500원', '6,300원', '6,000원', '6,000원', '6,200원', '6,300원', '7,000원', '7,000원', '6,800원', '6,800원', '7,200원', '4,800원', '7,600원', '7,000원', '6,800원', '5,800원', '5,800원', '5,800원', '6,500원', '6,200원']",4500,7600,3100,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=xMekbfygHAo6,[],[],['분위기좋은']
골든레빗,카페,광주시 동구 대의동 75-1,062-226-9797,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=Md4FzjZ7IUNj,[],[],['조용한']
아쥬떼,카페,광주시 동구 충장로5가 7-1,,월-금 오전 8시 30분 - 오후 7시,"['로즈&amp;리치 마들렌', '파스타치오&amp;라즈베리마들렌', '딥초코 마들렌']","['2,500원', '2,700원', '3,000원']",2500,3000,500,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=0RR10mmvCI3g,[],[],['예쁜']
스무디킹 CGV광주금남로점(임시휴점),카페,광주시 동구 불로동 1-21,,휴무일 매주 매일 (정기휴무 (매주 목요일)),"['스트로베리 익스트림 S', '레몬 트위스트 스트로베리 S', '망고 페스티벌 S', '하이프로틴 아몬드 바나나 S', '슬림앤슬림 다크초코 S']","['5,500원', '5,500원', '5,500원', '5,500원', '5,500원']",5500,5500,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=eFjHarziqEeM,[],[],[]
콩썸,카페,광주시 동구 대의동 6-1,,"월-금,토 오전 8시 - 오후 8시","['햄에그샌드위치', '치킨텐더 샌드위치', '아인슈페너', '달고나카페라떼', '흑당카페라떼', '리얼 딸기라떼', '초코라떼', '말차라떼', '달고나밀크티', '흑당라떼', '레몬에이드', '자몽에이드', '해시 포테이토 샌드위치', '청포도에이드', '패션후르츠', '생과일쥬스(계절과일)', '오렌지자몽블랙티', '레몬얼그레이', '페퍼민트', '카모마일', '레몬티', '자몽티', '스콘', '에그크래미 샌드위치', '마들렌', '샐러드', '오늘의커피(핸드드립)', '아메리카노', '콩썸아메리치노', '카페라떼', '카라멜마끼아또']","['6,500원', '7,600원', '5,300원', '4,800원', '4,800원', '5,500원', '5,200원', '5,200원', '5,500원', '5,500원', '4,800원', '4,800원', '7,600원', '4,800원', '4,800원', '6,000원', '5,000원', '5,000원', '4,800원', '4,800원', '4,800원', '4,800원', '2,500원', '7,600원', '2,500원', '8,900원', '6,000원', '3,000원', '4,500원', '4,500원', '4,800원']",2500,8900,6400,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=39vMzVdpW1zI,[],[],"['분위기좋은', '예쁜']"
카페점보 금남로점,카페,광주시 동구 대의동 82-3,,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=J9qGxLNJXOaI,[],[],[]
쏠리에또 광주금남점,카페,광주시 동구 금남로3가 1-11,062-419-8989,게시되지 않음 None,,,0,0,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=Wht2FdUSBcgp,[],[],[]
스무디킹 CGV광주금남로점(임시휴점),카페,광주시 동구 불로동 1-21,,휴무일 매주 매일 (정기휴무 (매주 목요일)),"['스트로베리 익스트림 S', '레몬 트위스트 스트로베리 S', '망고 페스티벌 S', '하이프로틴 아몬드 바나나 S', '슬림앤슬림 다크초코 S']","['5,500원', '5,500원', '5,500원', '5,500원', '5,500원']",5500,5500,0,게시되지 않음,게시되지 않음,https://www.diningcode.com/profile.php?rid=eFjHarziqEeM,[],[],[]
